mz	count
1446	2
1447	4
1448	6
1449	11
1450	5
1451	3
1452	5
1453	4
1454	5
1455	2
1456	4
1457	5
1458	2
1459	4
1460	6
1461	4
1462	3
1463	3
1464	4
1465	4
1466	3
1467	2
1468	2
1469	3
1470	5
1471	5
1472	3
1473	6
1474	2
1475	8
1476	1
1477	5
1478	3
1479	2
1480	3
1481	2
1482	3
1483	3
1484	6
1487	2
1488	1
1489	3
1490	2
1491	1
1492	3
1493	1
1495	1
1497	2
1500	1
